accX,accY,accZ,gyrX,gyrY,gyrZ,annotation
-1.2299107313156128,-5.986842632293701,4.984249591827393,-0.5473191142082214,-3.746937036514282,0.1197260618209838,#
-1.4141581058502195,-8.34855842590332,4.989035129547119,-0.4691306948661804,-3.6577532291412354,-0.0720799788832664,#
-1.9094725847244265,-9.253045082092283,2.196611166000366,-0.2699944972991943,-3.6345410346984863,-0.3481829464435577,#
-2.2755744457244877,-7.412964344024658,0.5575276613235474,-0.1624853760004043,-3.4097492694854736,-0.4349232316017151,#
-1.9860427379608157,-6.044269561767578,1.6869399547576904,-0.4642439186573028,-3.3022403717041016,-0.4422534108161926,#
-1.9860427379608157,-6.044269561767578,1.6869399547576904,-0.8637380003929138,-3.2154998779296875,-0.5851916074752808,#
-1.4931212663650513,-9.475577354431152,3.38823676109314,-0.7769976854324341,-3.2264950275421143,-0.7769976854324341,#
-1.191625714302063,-12.52164077758789,4.175475597381592,-0.6743753552436829,-3.205726385116577,-0.8209787011146545,#
-2.124826431274414,-9.688538551330566,2.0027925968170166,-0.8160918951034546,-3.2423770427703857,-0.6462763547897339,#
-2.651247262954712,-9.456435203552246,3.565305471420288,-0.7745543122291565,-3.1727404594421387,-0.5998519659042358,#
-1.4668002128601074,-9.913464546203612,9.72921657562256,0.1905843466520309,-3.004146814346313,-0.1392731666564941,#
-1.4668002128601074,-9.913464546203612,9.72921657562256,-0.6169556975364685,-3.197174549102783,0.7623373866081238,#
0.0023928226437419,-13.445270538330078,11.19362449645996,-1.011563062667847,-3.2875797748565674,0.9944592714309692,#
-0.4522434771060943,-12.87817096710205,9.119047164916992,-1.610193371772766,-3.167853593826294,1.1251806020736694,#
-2.0961124897003174,-12.52881908416748,6.336194515228272,-1.494132399559021,-2.4800398349761963,1.3646327257156372,#
-2.526820659637451,-12.06461238861084,5.582455158233643,-1.1117420196533203,-2.0793240070343018,1.408613681793213,#
-2.526820659637451,-12.06461238861084,5.582455158233643,-0.577861487865448,-1.580872654914856,1.4159438610076904,#
-2.0027925968170166,-11.8468656539917,6.589833736419678,-0.5045598149299622,-1.47825026512146,1.3389772176742554,#
-1.3112668991088867,-11.45205020904541,7.805387496948242,-0.5216635465621948,-1.3389772176742554,1.0653176307678225,#
-0.7776673436164856,-11.753543853759766,6.874579429626465,-0.6255075931549072,-1.2497934103012085,1.225359559059143,#
-1.294516921043396,-9.722038269042969,5.580062389373779,-0.3286358118057251,-1.2106993198394775,1.2534584999084473,#
-1.294516921043396,-9.722038269042969,5.580062389373779,0.2370087206363678,-0.9907942414283752,1.0531005859375,#
-2.0243279933929443,-8.403593063354492,4.393222332000732,0.6438329815864563,-0.8722898364067078,0.9089407324790956,#
-1.7754744291305542,-7.41535758972168,4.034298896789551,0.6597149968147278,-0.8808417320251465,0.8942803740501404,#
